Organism MutS Tudor_domain Tudor_dist PWWP_domain PWWP_dist Tudor_call PWWP_call
"Salvia splendens" 6 12 0 0 1519655 Present Absent
"Microplitis mediator" 3 0 Inf 0 714844 Absent Absent
"Sorex araneus" 2 0 Inf 4 0 Absent Present
"Ooceraea biroi" 2 0 Inf 0 2062159 Absent Absent
"Wyeomyia smithii" 1 0 43307762 0 23708628 Absent Absent
"Anoplopoma fimbria" 1 0 Inf 2 5839 Absent Present
"Oncorhynchus gorbuscha" 1 0 Inf 2 2325 Absent Present
"Arachis stenosperma" 3 2 252 0 2811539 Present Absent
"Quercus lobata" 2 4 0 0 9625158 Present Absent
"Phlebotomus papatasi" 1 0 Inf 0 14089230 Absent Absent
"Hypomesus transpacificus" 2 0 Inf 4 0 Absent Present
"Numida meleagris" 3 0 8471122 6 0 Absent Present
"Coffea eugenioides" 1 2 9767 0 Inf Present Absent
"Lucilia cuprina" 2 0 Inf 0 32999 Absent Absent
"Teleopsis dalmanni" 2 0 Inf 0 77756475 Absent Absent
"Chiloscyllium plagiosum" 1 0 Inf 2 15278 Absent Present
"Plasmodium reichenowi" 4 0 Inf 0 Inf Absent Absent
"Lagopus muta" 2 0 8113524 4 0 Absent Present
"Hippopotamus amphibius kiboko" 5 0 Inf 10 0 Absent Present
"Anthonomus grandis grandis" 4 0 Inf 0 16277775 Absent Absent
"Equus quagga" 2 0 Inf 4 0 Absent Present
"Bubalus carabanensis" 3 0 Inf 6 0 Absent Present
"Meles meles" 1 0 70777662 2 11506 Absent Present
"Eptesicus fuscus" 4 0 Inf 6 0 Absent Present
"Nycticebus coucang" 1 0 Inf 2 28501 Absent Present
"Dromiciops gliroides" 2 0 Inf 4 20 Absent Present
"Anopheles nili" 1 0 44203335 0 306308 Absent Absent
"Lemur catta" 2 0 Inf 4 0 Absent Present
"Grus americana" 3 0 15150710 6 0 Absent Present
"Drosophila biarmipes" 1 0 Inf 0 13491394 Absent Absent
"Drosophila albomicans" 1 0 Inf 0 10264104 Absent Absent
"Falco biarmicus" 2 0 Inf 4 0 Absent Present
"Patella vulgata" 1 0 Inf 2 20910 Absent Present
